Destination,Departure Date,Airline,Price (USD) ,Number of Stops,Travel Time,Available Seats,Travel Time Str
San Francisco,2025-07-01,B6,79.9,0,0 days 06:15:00,1,06:15
San Francisco,2025-07-01,B6,79.9,0,0 days 06:20:00,1,06:20
San Francisco,2025-07-01,B6,79.9,0,0 days 06:35:00,1,06:35
San Francisco,2025-07-01,B6,79.9,0,0 days 06:45:00,1,06:45
San Francisco,2025-07-01,F9,156.03,1,0 days 05:42:00,3,05:42
San Francisco,2025-07-01,F9,156.03,1,0 days 02:55:00,3,02:55
San Francisco,2025-07-01,F9,160.88,1,0 days 04:01:00,3,04:01
San Francisco,2025-07-01,F9,160.88,1,0 days 02:28:00,3,02:28
San Francisco,2025-07-01,F9,160.88,1,0 days 05:42:00,3,05:42
San Francisco,2025-07-01,B6,215.15,1,0 days 03:17:00,1,03:17
San Francisco,2025-07-01,B6,220.0,1,0 days 03:00:00,1,03:00
San Francisco,2025-07-01,B6,220.0,1,0 days 03:17:00,1,03:17
San Francisco,2025-07-01,AS,255.13,0,0 days 06:28:00,7,06:28
San Francisco,2025-07-01,B6,262.45,1,0 days 01:20:00,1,01:20
San Francisco,2025-07-01,B6,262.45,1,0 days 01:28:00,1,01:28
San Francisco,2025-07-01,B6,262.45,1,0 days 01:21:00,1,01:21
San Francisco,2025-07-01,AS,263.53,1,0 days 06:15:00,3,06:15
San Francisco,2025-07-01,HA,298.13,0,0 days 06:28:00,7,06:28
San Francisco,2025-07-01,AS,301.35,0,0 days 06:28:00,7,06:28
San Francisco,2025-07-01,AS,301.35,0,0 days 06:40:00,7,06:40
San Francisco,2025-07-01,HA,306.53,1,0 days 06:15:00,3,06:15
San Francisco,2025-07-01,AS,317.83,1,0 days 06:01:00,3,06:01
San Francisco,2025-07-01,AS,323.73,1,0 days 06:01:00,7,06:01
San Francisco,2025-07-01,HA,345.43,0,0 days 06:40:00,7,06:40
San Francisco,2025-07-01,AS,358.13,1,0 days 06:21:00,7,06:21
San Francisco,2025-07-01,AS,358.13,1,0 days 06:25:00,7,06:25
San Francisco,2025-07-01,AS,386.63,1,0 days 06:15:00,3,06:15
San Francisco,2025-07-01,HA,401.13,1,0 days 06:25:00,7,06:25
San Francisco,2025-07-01,AS,403.83,1,0 days 06:25:00,3,06:25
San Francisco,2025-07-01,AS,421.03,1,0 days 06:25:00,3,06:25
San Francisco,2025-07-01,AS,429.63,1,0 days 06:21:00,3,06:21
San Francisco,2025-07-01,AS,439.83,1,0 days 06:19:00,7,06:19
San Francisco,2025-07-01,HA,439.83,1,0 days 06:19:00,7,06:19
San Francisco,2025-07-01,HA,456.5,1,0 days 06:19:00,7,06:19
San Francisco,2025-07-01,HA,482.83,1,0 days 06:19:00,7,06:19
San Francisco,2025-07-01,AS,624.73,1,0 days 06:15:00,3,06:15
San Francisco,2025-07-01,B6,737.6,1,0 days 06:00:00,1,06:00
San Francisco,2025-07-01,B6,738.88,0,0 days 06:36:00,7,06:36
San Francisco,2025-07-01,B6,738.88,0,0 days 06:43:00,7,06:43
San Francisco,2025-07-01,B6,743.53,1,0 days 01:28:00,1,01:28
San Francisco,2025-07-01,B6,1109.55,1,0 days 01:29:00,1,01:29
San Francisco,2025-07-01,B6,1292.3,1,0 days 05:59:00,7,05:59
San Francisco,2025-07-01,B6,1307.35,1,0 days 05:41:00,1,05:41
San Francisco,2025-07-01,B6,1318.1,1,0 days 06:00:00,7,06:00
San Francisco,2025-07-01,AS,4237.8,1,0 days 02:51:00,3,02:51
San Francisco,2025-07-01,AS,4242.65,1,0 days 02:57:00,3,02:57
London,2025-07-01,A1,213.63,0,0 days 07:00:00,9,07:00
London,2025-07-01,FI,325.35,1,0 days 05:50:00,9,05:50
London,2025-07-01,FI,325.35,1,0 days 05:45:00,9,05:45
London,2025-07-01,TP,360.82,1,0 days 07:00:00,9,07:00
London,2025-07-01,FI,386.35,1,0 days 05:45:00,4,05:45
London,2025-07-01,FI,386.35,1,0 days 05:50:00,4,05:50
London,2025-07-01,TP,422.82,1,0 days 07:00:00,9,07:00
