Destination,Departure Date,Airline, Price (USD) ,Number of Stops,Travel Time,Available Seats
San Francisco,7/1/2025,B6, $79.90 ,0,6H15M,1
San Francisco,7/1/2025,B6, $79.90 ,0,6H20M,1
San Francisco,7/1/2025,B6, $79.90 ,0,6H35M,1
San Francisco,7/1/2025,B6, $79.90 ,0,6H45M,1
San Francisco,7/1/2025,F9, $156.03 ,1,5H42M,3
San Francisco,7/1/2025,F9, $156.03 ,1,2H55M,3
San Francisco,7/1/2025,F9, $160.88 ,1,4H1M,3
San Francisco,7/1/2025,F9, $160.88 ,1,2H28M,3
San Francisco,7/1/2025,F9, $160.88 ,1,5H42M,3
San Francisco,7/1/2025,B6, $215.15 ,1,3H17M,1
San Francisco,7/1/2025,B6, $220.00 ,1,3H,1
San Francisco,7/1/2025,B6, $220.00 ,1,3H17M,1
San Francisco,7/1/2025,AS, $255.13 ,0,6H28M,7
San Francisco,7/1/2025,B6, $262.45 ,1,1H20M,1
San Francisco,7/1/2025,B6, $262.45 ,1,1H28M,1
San Francisco,7/1/2025,B6, $262.45 ,1,1H20M,1
San Francisco,7/1/2025,B6, $262.45 ,1,1H21M,1
San Francisco,7/1/2025,AS, $263.53 ,1,6H15M,3
San Francisco,7/1/2025,HA, $298.13 ,0,6H28M,7
San Francisco,7/1/2025,AS, $301.35 ,0,6H28M,7
San Francisco,7/1/2025,AS, $301.35 ,0,6H40M,7
San Francisco,7/1/2025,HA, $306.53 ,1,6H15M,3
San Francisco,7/1/2025,AS, $317.83 ,1,6H1M,3
San Francisco,7/1/2025,AS, $323.73 ,1,6H1M,7
San Francisco,7/1/2025,HA, $345.43 ,0,6H40M,7
San Francisco,7/1/2025,AS, $358.13 ,1,6H21M,7
San Francisco,7/1/2025,AS, $358.13 ,1,6H25M,7
San Francisco,7/1/2025,AS, $386.63 ,1,6H15M,3
San Francisco,7/1/2025,HA, $401.13 ,1,6H25M,7
San Francisco,7/1/2025,AS, $403.83 ,1,6H25M,3
San Francisco,7/1/2025,AS, $403.83 ,1,6H25M,3
San Francisco,7/1/2025,AS, $421.03 ,1,6H25M,3
San Francisco,7/1/2025,AS, $429.63 ,1,6H21M,3
San Francisco,7/1/2025,AS, $439.83 ,1,6H19M,7
San Francisco,7/1/2025,AS, $439.83 ,1,6H19M,7
San Francisco,7/1/2025,AS, $439.83 ,1,6H19M,7
San Francisco,7/1/2025,AS, $439.83 ,1,6H19M,7
San Francisco,7/1/2025,HA, $439.83 ,1,6H19M,7
San Francisco,7/1/2025,HA, $456.50 ,1,6H19M,7
San Francisco,7/1/2025,HA, $482.83 ,1,6H19M,7
San Francisco,7/1/2025,AS, $624.73 ,1,6H15M,3
San Francisco,7/1/2025,B6, $737.60 ,1,6H,1
San Francisco,7/1/2025,B6, $738.88 ,0,6H36M,7
San Francisco,7/1/2025,B6, $738.88 ,0,6H43M,7
San Francisco,7/1/2025,B6, $743.53 ,1,1H28M,1
San Francisco,7/1/2025,B6," $1,109.55 ",1,1H29M,1
San Francisco,7/1/2025,B6," $1,292.30 ",1,5H59M,7
San Francisco,7/1/2025,B6," $1,307.35 ",1,5H41M,1
San Francisco,7/1/2025,B6," $1,318.10 ",1,6H,7
San Francisco,7/1/2025,AS," $4,237.80 ",1,2H51M,3
San Francisco,7/1/2025,AS," $4,242.65 ",1,2H57M,3
London,7/1/2025,A1, $213.63 ,0,7H,9
London,7/1/2025,FI, $325.35 ,1,5H50M,9
London,7/1/2025,FI, $325.35 ,1,5H45M,9
London,7/1/2025,FI, $325.35 ,1,5H50M,9
London,7/1/2025,TP, $360.82 ,1,7H,9
London,7/1/2025,TP, $360.82 ,1,7H,9
London,7/1/2025,FI, $386.35 ,1,5H45M,4
London,7/1/2025,FI, $386.35 ,1,5H50M,4
London,7/1/2025,TP, $422.82 ,1,7H,9
London,7/1/2025,TP, $429.03 ,1,7H,9
London,7/1/2025,UX, $430.02 ,1,7H5M,5
London,7/1/2025,UX, $430.02 ,1,7H15M,9
London,7/1/2025,UX, $436.87 ,1,7H5M,9
London,7/1/2025,UX, $436.87 ,1,7H15M,9
London,7/1/2025,AC, $448.30 ,1,1H36M,9
London,7/1/2025,AC, $448.30 ,1,1H36M,9
London,7/1/2025,AC, $454.04 ,1,1H46M,9
London,7/1/2025,AC, $454.04 ,1,1H46M,9
London,7/1/2025,AC, $454.04 ,1,1H45M,9
London,7/1/2025,AC, $454.04 ,1,1H45M,9
London,7/1/2025,AC, $454.04 ,1,1H45M,9
London,7/1/2025,VS, $465.38 ,1,7H15M,9
London,7/1/2025,VS, $465.38 ,1,7H30M,9
London,7/1/2025,UA, $468.41 ,1,8H,6
London,7/1/2025,UA, $470.83 ,1,7H35M,2
London,7/1/2025,KL, $470.99 ,0,7H20M,9
London,7/1/2025,UA, $471.95 ,1,7H30M,9
London,7/1/2025,AZ, $473.40 ,1,8H35M,9
London,7/1/2025,AZ, $473.40 ,1,8H35M,9
London,7/1/2025,VS, $475.73 ,1,7H20M,9
London,7/1/2025,VS, $475.73 ,1,7H20M,9
London,7/1/2025,VS, $475.73 ,1,7H25M,9
London,7/1/2025,VS, $475.73 ,1,7H25M,9
London,7/1/2025,UA, $479.60 ,1,7H55M,9
London,7/1/2025,AZ, $487.68 ,1,8H35M,9
London,7/1/2025,AZ, $487.68 ,1,8H40M,9
London,7/1/2025,AZ, $487.68 ,1,8H35M,9
London,7/1/2025,AZ, $487.68 ,1,8H40M,9
London,7/1/2025,VS, $490.01 ,1,7H20M,9
London,7/1/2025,VS, $490.01 ,1,7H20M,9
London,7/1/2025,AV, $491.57 ,1,5H50M,9
London,7/1/2025,AV, $491.57 ,1,5H45M,9
London,7/1/2025,TP, $509.82 ,2,1H20M,4
London,7/1/2025,TP, $509.82 ,2,1H20M,4
London,7/1/2025,TP, $509.82 ,2,1H20M,4
London,7/1/2025,TP, $509.82 ,2,1H20M,4
London,7/1/2025,S4, $520.18 ,2,5H50M,6
London,7/1/2025,S4, $520.18 ,2,5H50M,6
London,7/1/2025,S4, $520.18 ,2,5H50M,6
London,7/1/2025,S4, $520.18 ,2,5H50M,6
London,7/1/2025,UA, $527.83 ,1,7H55M,3
London,7/1/2025,UA, $527.83 ,1,7H35M,2
London,7/1/2025,AF, $528.88 ,1,7H15M,9
London,7/1/2025,AF, $528.88 ,1,7H35M,9
London,7/1/2025,AF, $528.88 ,1,7H35M,9
London,7/1/2025,AF, $528.88 ,1,7H25M,9
London,7/1/2025,AF, $528.88 ,1,7H30M,9
London,7/1/2025,AF, $528.88 ,1,7H15M,9
London,7/1/2025,AF, $528.88 ,1,7H30M,9
London,7/1/2025,UA, $533.80 ,1,7H50M,9
London,7/1/2025,AS, $535.57 ,0,6H55M,7
London,7/1/2025,AS, $535.57 ,0,6H55M,7
London,7/1/2025,AS, $535.57 ,0,7H,7
London,7/1/2025,AS, $535.57 ,0,7H5M,7
London,7/1/2025,AS, $535.57 ,0,7H5M,7
London,7/1/2025,AS, $535.57 ,0,7H10M,7
London,7/1/2025,AS, $535.57 ,0,7H10M,7
